id,customerId,week,position,date,imageUrl,notes,createdAt,updatedAt
cmg41sxti00126rea2z3x45pk,cmg3zc6f00001c2fk7xcz8z9m,1,front,2025-09-28 00:00:00,/uploads/customer-photos/cmg3zc6f00001c2fk7xcz8z9m_week1_front_1759085021625.png,,2025-09-28 18:43:41.944,2025-09-28 18:43:41.944
cmg41uq3l00166reae875hlp8,cmg3zc6f00001c2fk7xcz8z9m,1,side,2025-09-28 00:00:00,/uploads/customer-photos/cmg3zc6f00001c2fk7xcz8z9m_week1_side_1759085105098.png,,2025-09-28 18:45:05.313,2025-09-28 18:45:05.313
cmg41uqfg00186rea739ugolo,cmg3zc6f00001c2fk7xcz8z9m,1,back,2025-09-28 00:00:00,/uploads/customer-photos/cmg3zc6f00001c2fk7xcz8z9m_week1_back_1759085105532.png,,2025-09-28 18:45:05.741,2025-09-28 18:45:05.741
cmg4pkfoz004satebsr61sofu,cmg3zc6f00001c2fk7xcz8z9m,2,front,2025-09-29 00:00:00,https://bdeijrmqxstzrka8.public.blob.vercel-storage.com/customer-photos/cmg3zc6f00001c2fk7xcz8z9m_week2_front_1759124933171.png,,2025-09-29 05:48:56.051,2025-09-29 05:48:56.051
cmg50ziwp0001bpec0gxbv32c,cmg3zc6kf0002c2fkaq5c5a96,1,front,2025-09-29 00:00:00,https://bdeijrmqxstzrka8.public.blob.vercel-storage.com/customer-photos/cmg3zc6kf0002c2fkaq5c5a96_week1_front_1759144114528.jpeg,,2025-09-29 11:08:35.771,2025-09-29 11:08:35.771
cmg50znij0003bpecoh493hhx,cmg3zc6kf0002c2fkaq5c5a96,1,side,2025-09-29 00:00:00,https://bdeijrmqxstzrka8.public.blob.vercel-storage.com/customer-photos/cmg3zc6kf0002c2fkaq5c5a96_week1_side_1759144120445.jpeg,,2025-09-29 11:08:41.803,2025-09-29 11:08:41.803
cmg50zs450005bpecb4gflt5c,cmg3zc6kf0002c2fkaq5c5a96,1,back,2025-09-29 00:00:00,https://bdeijrmqxstzrka8.public.blob.vercel-storage.com/customer-photos/cmg3zc6kf0002c2fkaq5c5a96_week1_back_1759144126585.jpeg,,2025-09-29 11:08:47.766,2025-09-29 11:08:47.766
cmg65ymg00003cafpn3mkhl7k,cmg51euw20006bpec53j1e4bb,1,front,2025-09-30 00:00:00,https://bdeijrmqxstzrka8.public.blob.vercel-storage.com/customer-photos/cmg51euw20006bpec53j1e4bb_week1_front_1759212936402.jpeg,,2025-09-30 06:15:37.955,2025-09-30 06:15:37.955
cmg65yqkr0005cafpqjmer5c8,cmg51euw20006bpec53j1e4bb,1,side,2025-09-30 00:00:00,https://bdeijrmqxstzrka8.public.blob.vercel-storage.com/customer-photos/cmg51euw20006bpec53j1e4bb_week1_side_1759212942174.jpeg,,2025-09-30 06:15:43.372,2025-09-30 06:15:43.372
cmg65ytt20007cafp5udbczmv,cmg51euw20006bpec53j1e4bb,1,back,2025-09-30 00:00:00,https://bdeijrmqxstzrka8.public.blob.vercel-storage.com/customer-photos/cmg51euw20006bpec53j1e4bb_week1_back_1759212946294.jpeg,,2025-09-30 06:15:47.559,2025-09-30 06:15:47.559
cmgf0paaj00056ofad79op262,cmg8zzacg000093gx865cl2xm,1,front,2025-10-06 00:00:00,https://bdeijrmqxstzrka8.public.blob.vercel-storage.com/customer-photos/cmg8zzacg000093gx865cl2xm_week1_front_1759748298979.jpeg,,2025-10-06 10:58:19.867,2025-10-06 10:58:19.867
cmgf0pegp00076ofalbch5av6,cmg8zzacg000093gx865cl2xm,1,side,2025-10-06 00:00:00,https://bdeijrmqxstzrka8.public.blob.vercel-storage.com/customer-photos/cmg8zzacg000093gx865cl2xm_week1_side_1759748304156.jpeg,,2025-10-06 10:58:25.273,2025-10-06 10:58:25.273
cmgf0pj2b00096ofa9i82mvjz,cmg8zzacg000093gx865cl2xm,1,back,2025-10-06 00:00:00,https://bdeijrmqxstzrka8.public.blob.vercel-storage.com/customer-photos/cmg8zzacg000093gx865cl2xm_week1_back_1759748310032.jpeg,,2025-10-06 10:58:31.233,2025-10-06 10:58:31.233
cmgf1jhvz000o6ofacktkxpu9,cmg40s3t400016reaj691t59r,1,front,2025-10-06 00:00:00,https://bdeijrmqxstzrka8.public.blob.vercel-storage.com/customer-photos/cmg40s3t400016reaj691t59r_week1_front_1759749708064.jpeg,,2025-10-06 11:21:49.329,2025-10-06 11:21:49.329
cmgf1jmi2000q6ofaenbvg8fu,cmg40s3t400016reaj691t59r,1,side,2025-10-06 00:00:00,https://bdeijrmqxstzrka8.public.blob.vercel-storage.com/customer-photos/cmg40s3t400016reaj691t59r_week1_side_1759749714063.jpeg,,2025-10-06 11:21:55.37,2025-10-06 11:21:55.37
cmgf1jrck000s6ofagfjc24yb,cmg40s3t400016reaj691t59r,1,back,2025-10-06 00:00:00,https://bdeijrmqxstzrka8.public.blob.vercel-storage.com/customer-photos/cmg40s3t400016reaj691t59r_week1_back_1759749720349.jpeg,,2025-10-06 11:22:01.652,2025-10-06 11:22:01.652
cmggwhhet000180eu0wkly29m,cmg51euw20006bpec53j1e4bb,2,front,2025-10-07 00:00:00,https://bdeijrmqxstzrka8.public.blob.vercel-storage.com/customer-photos/cmg51euw20006bpec53j1e4bb_week3_front_1759862147758.jpeg,,2025-10-07 18:35:49.641,2025-10-07 20:34:19.421
